"﻿日平均氣溫(攝氏度) - 天文台"
"Daily Mean Temperature (°C) at the Hong Kong Observatory"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2025,1,1,17.8,C
2025,1,2,19.1,C
2025,1,3,18.8,C
2025,1,4,17.6,C
2025,1,5,18.8,C
2025,1,6,18.2,C
2025,1,7,17.3,C
2025,1,8,17.8,C
2025,1,9,17.7,C
2025,1,10,15.1,C
2025,1,11,14.0,C
2025,1,12,14.5,C
2025,1,13,16.2,C
2025,1,14,18.2,C
2025,1,15,19.5,C
2025,1,16,16.2,C
2025,1,17,15.5,C
2025,1,18,16.2,C
2025,1,19,17.2,C
2025,1,20,17.8,C
2025,1,21,17.4,C
2025,1,22,18.6,C
2025,1,23,19.2,C
2025,1,24,18.5,C
2025,1,25,17.9,C
2025,1,26,15.2,C
2025,1,27,13.9,C
2025,1,28,15.1,C
2025,1,29,15.8,C
2025,1,30,16.4,C
2025,1,31,18.1,C
2025,2,1,19.5,C
2025,2,2,18.5,C
2025,2,3,15.8,C
2025,2,4,14.7,C
2025,2,5,15.7,C
2025,2,6,17.4,C
2025,2,7,15.5,C
2025,2,8,14.0,C
2025,2,9,14.5,C
2025,2,10,15.9,C
2025,2,11,17.6,C
2025,2,12,18.8,C
2025,2,13,18.1,C
2025,2,14,16.8,C
2025,2,15,18.5,C
2025,2,16,21.0,C
2025,2,17,18.9,C
2025,2,18,18.0,C
2025,2,19,17.2,C
2025,2,20,17.7,C
2025,2,21,17.1,C
2025,2,22,16.6,C
2025,2,23,16.8,C
2025,2,24,15.4,C
2025,2,25,16.9,C
2025,2,26,17.8,C
2025,2,27,18.7,C
2025,2,28,21.3,C
2025,3,1,21.9,C
2025,3,2,22.8,C
2025,3,3,23.7,C
2025,3,4,24.4,C
2025,3,5,19.6,C
2025,3,6,14.5,C
2025,3,7,13.5,C
2025,3,8,16.6,C
2025,3,9,18.3,C
2025,3,10,20.4,C
2025,3,11,22.0,C
2025,3,12,22.4,C
2025,3,13,24.3,C
2025,3,14,21.5,C
2025,3,15,21.2,C
2025,3,16,17.6,C
2025,3,17,16.4,C
2025,3,18,17.1,C
2025,3,19,18.5,C
2025,3,20,19.4,C
2025,3,21,20.5,C
2025,3,22,21.2,C
2025,3,23,21.8,C
2025,3,24,22.4,C
2025,3,25,23.5,C
2025,3,26,23.9,C
2025,3,27,25.2,C
2025,3,28,25.1,C
2025,3,29,16.5,C
2025,3,30,13.7,C
2025,3,31,13.6,C
2025,4,1,16.1,C
2025,4,2,18.6,C
2025,4,3,20.6,C
2025,4,4,19.9,C
2025,4,5,19.3,C
2025,4,6,20.5,C
2025,4,7,22.1,C
2025,4,8,23.2,C
2025,4,9,24.1,C
2025,4,10,24.6,C
2025,4,11,25.0,C
2025,4,12,24.6,C
2025,4,13,21.8,C
2025,4,14,22.6,C
2025,4,15,25.8,C
2025,4,16,24.0,C
2025,4,17,24.5,C
2025,4,18,24.9,C
2025,4,19,26.3,C
2025,4,20,27.1,C
2025,4,21,26.9,C
2025,4,22,27.3,C
2025,4,23,27.8,C
2025,4,24,27.5,C
2025,4,25,25.2,C
2025,4,26,22.3,C
2025,4,27,22.2,C
2025,4,28,25.3,C
2025,4,29,25.4,C
2025,4,30,25.2,C
2025,5,1,25.6,C
2025,5,2,27.4,C
2025,5,3,26.8,C
2025,5,4,27.5,C
2025,5,5,27.8,C
2025,5,6,28.1,C
2025,5,7,27.1,C
2025,5,8,26.4,C
2025,5,9,27.2,C
2025,5,10,27.2,C
2025,5,11,24.8,C
2025,5,12,25.9,C
2025,5,13,25.8,C
2025,5,14,27.2,C
2025,5,15,28.2,C
2025,5,16,27.8,C
2025,5,17,28.8,C
2025,5,18,29.0,C
2025,5,19,29.0,C
2025,5,20,29.5,C
2025,5,21,29.9,C
2025,5,22,30.1,C
2025,5,23,29.7,C
2025,5,24,27.9,C
2025,5,25,25.9,C
2025,5,26,25.5,C
2025,5,27,26.3,C
2025,5,28,26.0,C
2025,5,29,26.2,C
2025,5,30,24.3,C
2025,5,31,25.0,C
2025,6,1,27.5,C
2025,6,2,29.4,C
2025,6,3,28.8,C
2025,6,4,26.4,C
2025,6,5,26.4,C
2025,6,6,28.1,C
2025,6,7,29.6,C
2025,6,8,30.1,C
2025,6,9,30.7,C
2025,6,10,31.0,C
2025,6,11,29.4,C
2025,6,12,28.5,C
2025,6,13,27.5,C
2025,6,14,29.1,C
2025,6,15,29.3,C
2025,6,16,29.4,C
2025,6,17,27.7,C
2025,6,18,29.2,C
2025,6,19,28.7,C
2025,6,20,28.4,C
2025,6,21,29.1,C
2025,6,22,29.2,C
2025,6,23,29.6,C
2025,6,24,30.1,C
2025,6,25,30.7,C
2025,6,26,28.9,C
2025,6,27,28.4,C
2025,6,28,28.6,C
2025,6,29,28.8,C
2025,6,30,28.5,C
2025,7,1,28.2,C
2025,7,2,30.0,C
2025,7,3,30.3,C
2025,7,4,30.8,C
2025,7,5,30.6,C
2025,7,6,30.3,C
2025,7,7,31.2,C
2025,7,8,30.9,C
2025,7,9,30.7,C
2025,7,10,26.3,C
2025,7,11,27.9,C
2025,7,12,28.7,C
2025,7,13,30.1,C
2025,7,14,30.2,C
2025,7,15,30.3,C
2025,7,16,31.1,C
2025,7,17,31.3,C
2025,7,18,28.6,C
2025,7,19,29.5,C
2025,7,20,27.0,C
2025,7,21,27.1,C
2025,7,22,28.0,C
2025,7,23,29.0,C
2025,7,24,29.4,C
2025,7,25,29.2,C
2025,7,26,30.2,C
2025,7,27,30.4,C
2025,7,28,30.1,C
2025,7,29,27.8,C
2025,7,30,29.8,C
2025,7,31,29.9,C
2025,8,1,30.1,C
2025,8,2,28.1,C
2025,8,3,29.2,C
2025,8,4,28.8,C
2025,8,5,27.1,C
2025,8,6,27.5,C
2025,8,7,29.3,C
2025,8,8,29.8,C
2025,8,9,30.1,C
2025,8,10,30.5,C
2025,8,11,29.7,C
2025,8,12,29.8,C
2025,8,13,30.1,C
2025,8,14,26.3,C
2025,8,15,27.5,C
2025,8,16,29.3,C
2025,8,17,27.3,C
2025,8,18,26.6,C
2025,8,19,27.1,C
2025,8,20,29.0,C
2025,8,21,29.6,C
2025,8,22,29.7,C
2025,8,23,30.0,C
2025,8,24,29.6,C
2025,8,25,29.4,C
2025,8,26,30.3,C
2025,8,27,29.8,C
2025,8,28,28.9,C
2025,8,29,30.2,C
2025,8,30,29.4,C
2025,8,31,29.8,C
2025,9,1,30.3,C
2025,9,2,30.3,C
2025,9,3,30.5,C
2025,9,4,30.9,C
2025,9,5,30.9,C
2025,9,6,30.7,C
2025,9,7,28.1,C
2025,9,8,27.4,C
2025,9,9,28.7,C
2025,9,10,29.1,C
2025,9,11,29.5,C
2025,9,12,30.1,C
2025,9,13,30.1,C
2025,9,14,29.8,C
2025,9,15,30.4,C
2025,9,16,30.4,C
2025,9,17,29.9,C
2025,9,18,29.9,C
2025,9,19,28.5,C
2025,9,20,26.3,C
2025,9,21,26.5,C
2025,9,22,29.3,C
2025,9,23,29.3,C
2025,9,24,26.1,C
2025,9,25,27.8,C
2025,9,26,29.4,C
2025,9,27,30.0,C
2025,9,28,29.2,C
2025,9,29,29.5,C
2025,9,30,29.5,C
2025,10,1,29.8,C
2025,10,2,29.5,C
2025,10,3,29.7,C
2025,10,4,29.6,C
2025,10,5,28.8,C
2025,10,6,28.6,C
2025,10,7,29.3,C
2025,10,8,30.0,C
2025,10,9,29.8,C
2025,10,10,29.2,C
2025,10,11,29.5,C
2025,10,12,28.3,C
2025,10,13,28.7,C
2025,10,14,29.1,C
2025,10,15,29.7,C
2025,10,16,29.6,C
2025,10,17,29.6,C
2025,10,18,29.9,C
2025,10,19,30.1,C
2025,10,20,26.8,C
2025,10,21,22.4,C
2025,10,22,19.2,C
2025,10,23,20.8,C
2025,10,24,23.3,C
2025,10,25,25.6,C
2025,10,26,26.5,C
2025,10,27,24.6,C
2025,10,28,23.4,C
2025,10,29,24.4,C
2025,10,30,26.3,C
2025,10,31,26.6,C
2025,11,1,24.5,C
2025,11,2,25.3,C
2025,11,3,23.7,C
2025,11,4,22.3,C
2025,11,5,23.5,C
2025,11,6,24.8,C
2025,11,7,24.6,C
2025,11,8,25.9,C
2025,11,9,26.4,C
2025,11,10,25.0,C
2025,11,11,23.0,C
2025,11,12,22.5,C
2025,11,13,21.1,C
2025,11,14,22.2,C
2025,11,15,24.0,C
2025,11,16,23.8,C
2025,11,17,24.5,C
2025,11,18,20.3,C
2025,11,19,15.4,C
2025,11,20,16.5,C
2025,11,21,19.7,C
2025,11,22,20.5,C
2025,11,23,22.3,C
2025,11,24,23.4,C
2025,11,25,21.9,C
2025,11,26,20.0,C
2025,11,27,19.8,C
2025,11,28,19.3,C
2025,11,29,20.5,C
2025,11,30,22.3,C
2025,12,1,22.9,C
2025,12,2,22.8,C
2025,12,3,21.5,C
2025,12,4,19.8,C
2025,12,5,20.4,C
2025,12,6,20.4,C
2025,12,7,21.3,C
2025,12,8,22.5,C
2025,12,9,21.1,C
2025,12,10,20.8,C
2025,12,11,22.7,C
2025,12,12,21.1,C
2025,12,13,20.0,C
2025,12,14,17.0,C
2025,12,15,17.6,C
2025,12,16,20.1,C
2025,12,17,21.4,C
2025,12,18,20.4,C
2025,12,19,21.0,C
2025,12,20,23.0,C
2025,12,21,21.9,C
2025,12,22,19.7,C
2025,12,23,20.0,C
2025,12,24,21.3,C
2025,12,25,17.8,C
2025,12,26,14.7,C
2025,12,27,16.8,C
2025,12,28,18.0,C
2025,12,29,18.8,C
2025,12,30,19.5,C
2025,12,31,19.4,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
